,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
42,S01,22,Hombre,izquierda,1,0,auditory,53,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.522227599999951,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
43,S01,22,Hombre,izquierda,1,0,auditory,54,EXP,90.0,45.0,VP,1600.0,100.0,0.0,1.0,diferente,0.3811384999999063,1,8.0,1.0,1,VP,EXP,visual,0,1,1,1,1,1,8.0,0.4,1
44,S01,22,Hombre,izquierda,1,0,auditory,55,VP,0.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4176046000002316,1,8.0,1.0,1,EXP,VP,visual,1,0,1,0,0,1,0.0,0.0,0
45,S01,22,Hombre,izquierda,1,0,auditory,56,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.4986963999999716,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,8.0,0.4,1
46,S01,22,Hombre,izquierda,1,0,auditory,57,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4558171000003312,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
47,S01,22,Hombre,izquierda,1,0,auditory,58,VP,0.0,45.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.492513499999859,1,8.0,1.0,1,EXP,VP,visual,1,0,1,1,1,1,8.0,0.4,1
48,S01,22,Hombre,izquierda,1,0,auditory,59,VP,0.0,45.0,EXP,1000.0,100.0,0.0,1.0,normal,0.5354594000000361,0,2.0,1.0,1,EXP,VP,visual,1,0,1,0,0,1,2.0,0.1,0
49,S01,22,Hombre,izquierda,1,0,auditory,60,VP,0.0,45.0,VP,1600.0,100.0,0.0,0.0,diferente,0.9618967000001248,0,6.0,1.0,1,VP,VP,visual,0,0,1,1,1,1,0.0,0.0,1
50,S01,22,Hombre,izquierda,1,0,auditory,61,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.4809625999996569,1,6.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,6.0,0.3,1
51,S01,22,Hombre,izquierda,1,0,auditory,62,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.778661600000305,1,6.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
