,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
4465,S35,18,Mujer,derecha,2,0,auditory,1,,,,EXP,1000.0,160.0,,,raro,2.3626925999997184,0,
4466,S35,18,Mujer,derecha,2,0,auditory,2,,,,EXP,1600.0,100.0,,,frecuente,0.3574927999870851,1,
4467,S35,18,Mujer,derecha,2,0,auditory,3,,,,VP,1000.0,100.0,,,frecuente,0.3267123999539763,0,
4468,S35,18,Mujer,derecha,2,0,auditory,4,,,,EXP,1600.0,100.0,,,frecuente,0.3124611000530422,1,
4469,S35,18,Mujer,derecha,2,0,auditory,5,,,,VP,1600.0,160.0,,,raro,0.3508985999505967,1,
4470,S35,18,Mujer,derecha,2,0,auditory,6,,,,VP,1600.0,160.0,,,raro,2.3741592000005767,1,
4471,S35,18,Mujer,derecha,2,0,auditory,7,,,,EXP,1000.0,160.0,,,frecuente,1.042273800005205,1,
4472,S35,18,Mujer,derecha,2,1,visual,0,EXP,90.0,135.0,,,,,,frecuente,5.05921750003472,1,
4473,S35,18,Mujer,derecha,2,1,visual,1,VP,0.0,135.0,,,,,,frecuente,0.4298473000526428,0,
4474,S35,18,Mujer,derecha,2,1,visual,2,VP,90.0,45.0,,,,,,frecuente,0.2834413000382483,0,
4475,S35,18,Mujer,derecha,2,1,visual,3,EXP,0.0,45.0,,,,,,raro,1.6791009000735355,0,
4476,S35,18,Mujer,derecha,2,1,visual,4,EXP,0.0,45.0,,,,,,raro,0.4959063000278547,0,
4477,S35,18,Mujer,derecha,2,1,visual,5,VP,0.0,135.0,,,,,,frecuente,0.525054799974896,0,
4478,S35,18,Mujer,derecha,2,1,visual,6,VP,90.0,45.0,,,,,,raro,1.1556763999396935,1,
4479,S35,18,Mujer,derecha,2,1,visual,7,EXP,90.0,135.0,,,,,,frecuente,1.2657326000044122,1,
5360,S36,21,Mujer,derecha,2,0,visual,0,EXP,0.0,45.0,,,,,,frecuente,1.206536400000914,1,
5361,S36,21,Mujer,derecha,2,0,visual,1,VP,90.0,45.0,,,,,,raro,1.1699685000057798,1,
5362,S36,21,Mujer,derecha,2,0,visual,2,EXP,90.0,135.0,,,,,,raro,0.629415199990035,0,
5363,S36,21,Mujer,derecha,2,0,visual,3,EXP,90.0,135.0,,,,,,frecuente,1.4648000999877695,1,
5364,S36,21,Mujer,derecha,2,0,visual,4,VP,90.0,45.0,,,,,,raro,0.4676054000010481,1,
5365,S36,21,Mujer,derecha,2,0,visual,5,VP,0.0,135.0,,,,,,raro,0.5677261000091676,1,
5366,S36,21,Mujer,derecha,2,0,visual,6,EXP,0.0,45.0,,,,,,frecuente,0.0830493999965256,1,
5367,S36,21,Mujer,derecha,2,0,visual,7,VP,0.0,135.0,,,,,,frecuente,1.3271112000074936,0,
5368,S36,21,Mujer,derecha,2,1,auditory,0,,,,EXP,1000.0,100.0,,,frecuente,0.7383480999997118,1,
5369,S36,21,Mujer,derecha,2,1,auditory,1,,,,EXP,1600.0,160.0,,,frecuente,0.7584198999975342,1,
5370,S36,21,Mujer,derecha,2,1,auditory,2,,,,VP,1600.0,100.0,,,raro,2.216490699996939,1,
5371,S36,21,Mujer,derecha,2,1,auditory,3,,,,VP,1000.0,160.0,,,frecuente,1.5866400000086287,0,
5372,S36,21,Mujer,derecha,2,1,auditory,4,,,,VP,1600.0,100.0,,,frecuente,1.0827462000015655,0,
5373,S36,21,Mujer,derecha,2,1,auditory,5,,,,EXP,1600.0,160.0,,,raro,0.4854245000024093,0,
5374,S36,21,Mujer,derecha,2,1,auditory,6,,,,EXP,1000.0,100.0,,,frecuente,0.7428484000120079,1,
5375,S36,21,Mujer,derecha,2,1,auditory,7,,,,VP,1000.0,160.0,,,raro,0.6369100999872899,1,
6256,S37,18,Mujer,izquierda,2,0,auditory,0,,,,EXP,1600.0,100.0,,,raro,4.590192700037733,0,
6257,S37,18,Mujer,izquierda,2,0,auditory,1,,,,VP,1000.0,100.0,,,raro,0.461739799939096,1,
6258,S37,18,Mujer,izquierda,2,0,auditory,2,,,,VP,1600.0,160.0,,,raro,1.305724199861288,1,
6259,S37,18,Mujer,izquierda,2,0,auditory,3,,,,EXP,1600.0,100.0,,,raro,0.7340414000209421,0,
6260,S37,18,Mujer,izquierda,2,0,auditory,4,,,,EXP,1000.0,160.0,,,raro,0.5978342001326382,0,
6261,S37,18,Mujer,izquierda,2,0,auditory,5,,,,VP,1000.0,100.0,,,frecuente,0.2975550999399274,0,
6262,S37,18,Mujer,izquierda,2,0,auditory,6,,,,VP,1600.0,160.0,,,frecuente,0.574541499838233,0,
6263,S37,18,Mujer,izquierda,2,0,auditory,7,,,,EXP,1000.0,160.0,,,frecuente,0.2493374000769108,1,
6264,S37,18,Mujer,izquierda,2,1,visual,0,VP,90.0,45.0,,,,,,frecuente,1.9227677001617849,0,
6265,S37,18,Mujer,izquierda,2,1,visual,1,VP,90.0,45.0,,,,,,frecuente,0.1731196998152881,0,
